Support Query,Top Category,Sub Category
There's a charge on my statement I don’t recognize.,Transaction Services,Transaction Disputes
Can I get a refund for the double charge on my account?,Transaction Services,Failed Transactions
How do I report a fraudulent transaction?,Transaction Services,Transaction Disputes
What does this transaction code on my statement mean?,Transaction Services,Transaction Inquiry
I need help with a transaction that didn’t go through.,Transaction Services,Failed Transactions
I want to apply for a new credit card.,Card Services,Card Issuance
How do I renew my expired debit card?,Card Services,Card Issuance
"I lost my card, how do I report it and get a new one?",Card Services,Lost/Stolen Cards
What are the steps to activate my new card?,Card Services,Card Activation/Deactivation
How can I change the PIN of my card?,Card Services,Card Activation/Deactivation
I think my card was stolen. What should I do?,Card Services,Lost/Stolen Cards
Can I deactivate my credit card temporarily?,Card Services,Card Activation/Deactivation
How long does it take to get a replacement for a damaged card?,Card Services,Lost/Stolen Cards
I received my new card but it’s not working.,Card Services,Card Issuance
How to block my credit card immediately?,Card Services,Lost/Stolen Cards
I can’t log into my mobile banking app.,Online and Mobile Banking,Technical Support
How do I download and install the bank's mobile app?,Online and Mobile Banking,Technical Support
I'm getting an error message when trying to transfer money through the app.,Online and Mobile Banking,Technical Support
Can I view my e-statements on the mobile app?,Online and Mobile Banking,Digital Banking Features
How to use the mobile check deposit feature?,Online and Mobile Banking,Digital Banking Features
I forgot my online banking password. How do I reset it?,Online and Mobile Banking,Security and Access
How do I set up two-factor authentication for my account?,Online and Mobile Banking,Security and Access
Is there a way to pay bills automatically through online banking?,Online and Mobile Banking,Digital Banking Features
I suspect someone else has accessed my online banking. What should I do?,Online and Mobile Banking,Security and Access
How to update my personal information in online banking?,Online and Mobile Banking,Technical Support
"I suspect a fraudulent transaction on my account, what should I do?",Fraud and Security,Reporting Fraud
How do I report a lost or stolen credit card?,Fraud and Security,Reporting Fraud
What are the bank's security measures against fraud?,Fraud and Security,Security Measures
How can I set up fraud alerts on my account?,Fraud and Security,Security Measures
What steps should I take if I'm a victim of identity theft?,Fraud and Security,Identity Theft
How do I secure my online banking?,Fraud and Security,Security Measures
What should I do if I receive a suspicious email claiming to be from the bank?,Fraud and Security,Reporting Fraud
Are there any security advisories for customers?,Fraud and Security,Security Measures
How do I block my account if I suspect fraud?,Fraud and Security,Reporting Fraud
Can I get assistance in restoring my account after identity theft?,Fraud and Security,Identity Theft
What types of savings accounts do you offer?,Savings and Investments,Account Types
How do I open a fixed deposit account?,Savings and Investments,Account Types
What are the interest rates for retirement accounts?,Savings and Investments,Rates and Terms
What is the penalty for early withdrawal from a fixed deposit?,Savings and Investments,Rates and Terms
Can you provide information on different investment options?,Savings and Investments,Portfolio Management
How do I manage my investment portfolio?,Savings and Investments,Portfolio Management
What are the terms for a long-term deposit?,Savings and Investments,Rates and Terms
Is there a minimum balance requirement for a savings account?,Savings and Investments,Account Types
What are the benefits of a high-yield savings account?,Savings and Investments,Account Types
How can I change my investment plan?,Savings and Investments,Portfolio Management
